Grid_ID,Latitude,Longitude
1292_7770,12.9128,77.6744
1293_7767,12.9262,77.6675
1293_7770,12.9028,77.6778
1296_7728,12.9686,77.2896
1298_7741,12.983238,77.411579
1299_7760,12.99405973,77.60703534
1299_7761,12.99614584,77.61636072
1321_7766,13.213675,77.66443174
1311_7742,13.1152675,77.4221095
1312_7742,13.1208705,77.4219465
1319_7767,13.196422,77.671224
1319_7768,13.19859481,77.68407942
1320_7770,13.20208,77.70626982
1320_7771,13.20105883,77.71165948
1320_7772,13.200551,77.721182
1321_7763,13.21159,77.639821
1321_7765,13.2141795,77.655351
1321_7768,13.2184975,77.68016
1321_7769,13.2184505,77.69406395
1321_7771,13.214234,77.714617
1322_7767,13.221273,77.670176
1266_7778,12.8895,77.6388
1289_7762,12.8918,77.6248
1079_7878,12.9894,77.4958
1244_7731,13.0328,77.5036
1252_7728,13.0338,77.4808
1258_7728,12.9922,77.5015
1259_7728,12.9902,77.4896
1298_7747,12.9908,77.4887
1298_7748,12.98511091,77.48477673
1299_7746,12.99440375,77.4669405
1299_7747,12.991966,77.475007
1299_7748,12.9952434,77.4867682
1299_7749,12.99517888,77.49643071
1300_7747,13.0042515,77.4777975
1300_7748,13.00445079,77.48391413
1301_7719,13.013992,77.190477
1301_7747,13.01673,77.478241
1302_7728,13.02927,77.284793
1309_7728,12.9904,77.4891
1309_7729,13.09702,77.292205
1313_7757,13.13225025,77.57537525
1317_7717,12.9942,77.4996
1354_7723,13.0367,77.4878
5165_3910,13.0367,77.4878
724_7755,13.0068,77.4848
1297_7739,12.9923,77.6575
1298_7765,12.98485833,77.65576867
1298_7766,12.98639527,77.66541387
1299_7763,12.99334624,77.637108
1299_7764,12.99519517,77.642201
1434_7489,12.9716,77.5946
6724_2350,12.9934,77.6618
7763_1299,12.9945,77.6579
7764_1298,12.9904,77.6521
7764_1299,12.9911,77.6438
7765_1297,12.9588,77.6718
7765_1298,12.9801,77.6548
7765_1299,12.9936,77.662
7765_1396,12.9928,77.6595
7766_1297,12.9814,77.6629
7766_1298,12.9818,77.6623
7766_1299,12.9918,77.6518
7766_7766,12.9959,77.6648
7767_1297,12.9829,77.6784
7767_1298,12.9824,77.6781
7768_1277,12.9897,77.6775
7768_1297,12.9897,77.6775
7768_1298,12.9897,77.6775
1204_7761,12.9458,77.5928
1223_7712,12.9669,77.5255
1223_7752,12.9458,77.5765
1224_7754,12.9695,77.6498
1224_7756,12.9095,77.5648
1229_7710,12.9695,77.6498
1231_7765,12.9669,77.5255
1232_7723,12.9856,77.5108
1234_7756,12.9597,77.5189
1234_7761,12.9695,77.6498
1234_7764,12.9856,77.5108
1235_7662,12.9095,77.5648
1251_7695,13.0068,77.5178
1253_7789,12.9598,77.5438
1254_7756,12.9669,77.5255
1256_7769,12.9095,77.5648
1256_7795,12.9716,77.5946
1263_6931,12.9638,77.5488
1263_7712,12.9308,77.5488
1263_7713,12.9695,77.6498
1264_1264,12.9695,77.6498
1264_7736,12.9498,77.5748
1265_7747,13.0068,77.5178
1270_7726,12.9498,77.5748
1279_7716,12.9198,77.5478
1279_7744,12.9669,77.5255
1280_7701,12.9648,77.5758
1285_7746,12.9095,77.5648
1291_7740,12.9419,77.5285
1293_7751,12.9308,77.5348
1293_7752,12.9308,77.5348
1295_7744,12.9521,77.5256
1325_7748,13.256045,77.4868765
2113_6931,12.9416,77.5289
2113_7755,13.0209,77.6616
293_7752,12.9676,77.5269
7751_1293,12.9712,77.5288
7752_1293,12.9712,77.5288
7752_1294,12.9712,77.5288
7752_6931,13.0355,77.5218
7753_1292,12.9712,77.5288
7753_1293,13.0355,77.5218
7753_1294,12.9712,77.5288
7753_1295,12.9712,77.5288
7754_1294,12.9535,77.5437
7754_1295,12.9538,77.5434
7754_1296,12.9473,77.5689
1294_7753,12.94556187,77.53310776
1212_7712,12.9716,77.5946
1212_7721,12.9716,77.5946
1212_7723,12.9716,77.5946
1212_7724,12.9716,77.5946
1212_7732,12.9716,77.5946
1212_7742,12.9716,77.5946
1213_7721,12.9716,77.5946
1221_7712,12.9716,77.5946
