Grid_ID,Latitude,Longitude
1226_7725,12.265974,77.2549713
1226_7736,12.265814,77.361478
1226_7739,12.264524,77.391246
1226_7750,12.26429,77.50086
1226_7771,12.26919,77.71173
1227_7709,12.275003625,77.09458705
1227_7750,12.2734,77.50086
1228_7606,12.2879,76.0632668
1228_7661,12.28787,76.61766
1228_7662,12.2844,76.62377
1228_7663,12.287172055555555,76.63289372222222
1228_7723,12.28645,77.232141
1228_7750,12.28787,77.5005865
1228_7752,12.28787,77.52325066666667
1228_7760,12.28317,77.605232
1228_7763,12.286483333333335,77.63293933333334
1229_7365,12.29367366102564,73.65332034128205
1229_7582,12.295932,75.829373
1229_7665,12.29348,76.65314
1229_7710,12.29692615,77.104545
1229_7757,12.294484833333334,77.57469866666666
1230_7660,12.30793,76.60791
1230_7666,12.30834,76.66753
1230_7751,12.30038,77.514937
1230_7753,12.307086,77.539204
1231_7664,12.31103,76.64944
1231_7669,12.317897,76.691703
1231_7765,12.311827,77.652985
1232_7667,12.32837,76.67581
1232_7712,12.324486333333333,77.12356133333334
1232_7715,12.321571,77.154871
1232_7723,12.323898499999999,77.235985
1232_7732,12.325883,77.32574833333332
1232_7756,12.32323,77.56525
1232_7761,12.323523,77.6164
1232_7763,12.32157,77.63187
1232_7765,12.323232,77.65355
1233_7722,12.333327,77.222228
1233_7733,12.333655,77.336652
1233_7750,12.33684,77.500313
1233_7761,12.33362,77.610846
1234_1257,12.34567,12.57667
1234_7731,12.3456552,77.313672
1234_7742,12.3412,77.4215
1234_7756,12.345682,77.569871
1234_7761,12.34284,77.61976
1234_7764,12.345678,77.645387
1235_7662,12.35039,76.62277
1235_7720,12.352452,77.205252
1235_7725,12.358315,77.25676
1235_7726,12.357152,77.2659945
1235_7732,12.354791,77.321571
1235_7735,12.355261,77.355594
1235_7736,12.354564,77.362156
1235_7752,12.354781,77.526489
1235_7753,12.356,77.5336
1235_7755,12.353355,77.556745
1235_7757,12.356923,77.579533
1235_7763,12.3554,77.63565
1235_7765,12.355379,77.65595515
1236_7705,12.3658719,77.05423174
1236_7721,12.365971,77.2158743
1236_7723,12.369874,77.235648
1236_7725,12.368683404358974,77.25755143589743
1236_7726,12.3657,77.26574
1236_7732,12.365602833333334,77.32653333333333
1236_7735,12.3658711,77.35247891
1236_7736,12.365667,77.36655433333333
1236_7756,12.367016999999999,77.56842082
1236_7758,12.365871,77.587115
1236_7765,12.365809500000001,77.658580165
1236_7786,12.3654,77.8659
1236_7789,12.3654,77.8956
1237_7745,12.3712,77.455
1237_7756,12.378632,77.564237
1239_7677,12.39395,76.775368
1239_7752,12.394716,77.52327
1239_7769,12.3993177,77.69152
1241_7719,12.4164,77.1929
1241_7721,12.414622,77.21456
1242_7712,12.425396,77.12453
1242_7724,12.425126500000001,77.245675
1242_7764,12.42654,77.64233
1242_7799,12.4236,77.9956
1244_7729,12.4456,77.2922
1244_7731,12.4452,77.312253
1244_7761,12.445002285714283,77.61166781481481
1245_7623,12.451705231578948,76.23688678596491
1245_7667,12.454548,76.674186
1245_7710,12.456784,77.105631
1245_7712,12.456876600000001,77.1247224
1245_7723,12.4566535,77.23654400000001
1245_7724,12.454150666666665,77.245503
1245_7725,12.4596245841,77.2596421222
1245_7726,12.456314,77.265349
1245_7730,12.452646,77.302197
1245_7732,12.452456,77.325465
1245_7734,12.458611000000001,77.343723
1245_7737,12.452369,77.372891
1245_7745,12.456579484210527,77.45714857894737
1245_7746,12.452851,77.468821
1245_7747,12.4587914,77.4789712
1245_7748,12.459871,77.487159
1245_7753,12.454548,77.53386
1245_7754,12.45771124,77.5457072
1245_7755,12.454548,77.553565
1245_7756,12.457092,77.5670035
1245_7757,12.456445,77.57888
1245_7758,12.459874466666667,77.58639699999999
1245_7759,12.456445,77.591245
1245_7766,12.45565,77.66556
1245_7774,12.4578914,77.7458193
1245_7787,12.4587,77.87459
1245_7794,12.45676,77.947677
1245_7798,12.457656,77.9855515
1246_7712,12.465823,77.1245
1246_7715,12.469877,77.154982
1246_7724,12.465441,77.24654
1246_7725,12.465289645,77.25633299564
1246_7745,12.469871,77.4569871
1247_7712,12.475464,77.1245
1247_7737,12.4734,77.3719
1247_7747,12.472383,77.477652
1247_7748,12.472383,77.485862
1247_7752,12.472383,77.526453
1248_7638,12.481983654937824,76.38618038194016
1248_7745,12.4869125,77.45469600000001
1248_7765,12.485966,77.655656
1248_7787,12.4879541,77.879541
1249_7726,12.495768,77.261439
1249_7745,12.49872589,77.4592514
1250_7734,12.504027083333334,77.34412033333334
1250_7735,12.50437792190476,77.3535907752381
1250_7736,12.504136504,77.36119856799999
1250_7737,12.5,77.38
1250_7738,12.504793375,77.38355625
1250_7739,12.500988571428573,77.39128757142858
1250_7740,12.5041136,77.40220624999999
1251_7695,12.516402,76.952705
1251_7725,12.51421,77.25412
1251_7731,12.5137,77.3148
1251_7732,12.513595500000001,77.324291
1251_7734,12.513564,77.345043
1251_7735,12.513658505454545,77.35322541636364
1251_7736,12.513463210909093,77.36394497090909
1251_7737,12.5112075,77.37579
1251_7739,12.512093739130435,77.39288930434783
1251_7740,12.513959999999999,77.40606000000001
1252_1739,12.521474,17.394634
1252_7721,12.52961,77.21398
1252_7725,12.5266705,77.25502259999999
1252_7728,12.52522,77.28229166666667
1252_7731,12.5251325,77.3141735
1252_7732,12.52332,77.32395
1252_7733,12.5245,77.3326
1252_7734,12.52442325,77.3450995
1252_7735,12.523874399555554,77.35421201244444
1252_7736,12.524096507536232,77.36410016405797
1252_7737,12.521679944444445,77.37358080555556
1252_7738,12.524202875,77.384459375
1252_7739,12.5225475,77.3922738888889
1252_7744,12.524849,77.441219
1252_7745,12.524555,77.4521165
1252_7752,12.526458,77.526589
1252_7753,12.525686,77.536585
1253_1730,12.535142,17.304043
1253_6817,12.535537,68.177512
1253_7586,12.53649256,75.86658293716981
1253_7720,12.535584,77.205252
1253_7724,12.5368,77.2473
1253_7728,12.535841,77.281877
1253_7729,12.535181,77.29585
1253_7730,12.53467,77.30459
1253_7732,12.532038,77.32922
1253_7733,12.53329604,77.33340704
1253_7734,12.536066,77.345898
1253_7735,12.532453310400001,77.3539042832
1253_7736,12.533368507999999,77.36269558000001
1253_7737,12.531150238095238,77.37393142857142
1253_7738,12.5335875,77.38231275
1253_7739,12.53433,77.392108
1253_7740,12.532217,77.402311
1253_7742,12.53568,77.425473
1253_7743,12.5348675,77.4309375
1253_7749,12.536255,77.49663
1253_7753,12.536249333333332,77.53420516666667
1253_7783,12.536598,77.836595
1253_7789,12.5357375,77.895612
1253_7793,12.538520666666665,77.93645366666667
1253_793,12.53685,7.936588
1254_7693,12.540187,76.930583
1254_7702,12.547162,77.024862
1254_7708,12.542646,77.088342
1254_7714,12.54621,77.14562
1254_7720,12.540692,77.203304
1254_7724,12.547019500000001,77.2477175
1254_7725,12.548585103420834,77.25546041063333
1254_7726,12.548762,77.2645
1254_7728,12.543874,77.2844650909091
1254_7729,12.54247,77.291305
1254_7730,12.54190387,77.30350225000001
1254_7731,12.544501,77.3151575
1254_7732,12.5479795,77.3253084895
1254_7733,12.54544,77.33454
1254_7734,12.545413333333334,77.34388066666666
1254_7736,12.546025,77.3645035
1254_7739,12.542385,77.39982
1254_7741,12.546244,77.419884
1254_7742,12.540671,77.422482
1254_7743,12.544488,77.435916
1254_7744,12.543603000000001,77.4435315
1254_7745,12.548910666666666,77.45954316666666
1254_7748,12.54128,77.48157
1254_7751,12.545656,77.512554
1254_7752,12.5488324,77.5248773
